cliente,edad,flag_visita_unica,indicador_frecuencia_find_semana,indicador_frecuencia_semana,indicador_genero_mas_visto,incidencia_personal_dulceria,Numero_entradas_compradas_moda,TP_boleteria,indicador_nro_visitas_mes,indicador_estreno,indicador_promocion_especiales,indicador_promocion_nino,indicador_upselling_combo,canal_venta_preferido,indicador_cliente_prime,indicador_cliente_xtreme,total_dulceria,total_boleteria,canti_visitas_periodo,tp_cliente_dulceria,PROMEDIO_ENTRADAS_COMPRADAS,Nro_entradas_totales_comprada,TP_dul_por_entrada
1,22,0,0.3333,0.6667,Terror,0.67,4,15.1667,1,0.3333,0.5,0.3333,0.5,Complejos,0,0,50.5,91,3,25.25,2,12,4.21
2,46,0,0.2,0.8,Comedia,0.8,4,25.75,1,0.6,0.5,0.2,0.4286,Complejos,0,0,275,206,5,39.2857,2.75,22,12.5
3,34,0,0.3333,0.6667,Comedia,0.33,6,45.25,0,0,0.7273,0,0,Complejos,0.25,0,40,181,3,40,2.75,11,3.64
4,24,1,0,1,Comedia,1,2,33,1,1,1,0,0.5,Complejos,0,0,67.5,33,1,33.75,2,2,33.75
5,18,1,0,1,Terror,0,2,29,1,1,1,0,0,Complejos,0,0,0,29,1,0,2,2,0
6,40,1,1,0,Accion,0,2,30,0,1,0,0,0,Tienda Web,0,0,0,30,1,0,2,2,0
7,23,0,0.3333,0.6667,Terror,0.33,2,31.1667,0,1,1,0,1,Complejos,0,0,52.5,93.5,3,52.5,2.3333,7,7.5
8,42,1,1,0,Accion,1,4,38,0,1,1,0,0.5,Complejos,0,0,63.5,38,1,31.75,4,4,15.88
9,27,0,0.2222,0.7778,Ciencia Ficcion,0.56,2,15.9048,4,0.7667,0.0513,0.0278,0.55,Tienda Web,0,0,450,668,36,22.5,1.8571,78,5.77
10,18,0,0.6,0.4,Accion,0.6,2,19.8125,0,0.8,0.6923,0,0.3333,Complejos,0,0,93.5,158.5,5,31.1667,1.625,13,7.19
11,54,0,0.6,0.4,Accion,0,2,25.0833,1,0.2,0.5625,0,0,Complejos,0,0,0,150.5,5,0,2.6667,16,0
12,34,1,1,0,Comedia,0,2,50,0,0,1,0,0,Complejos,0,0,0,50,1,0,2,2,0
13,23,1,0,1,Ciencia Ficcion,0,4,30,1,0,1,0,0,Complejos,0,0,0,30,1,0,4,4,0
14,28,1,0,1,Ciencia Ficcion,1,2,23,1,1,0,0,0,Tienda Web,0,0,54,23,1,27,2,2,27
15,23,0,0.4,0.6,Terror,0.4,2,25.0833,0,0.6,0.6923,0,0,Complejos,0,0,56.5,150.5,5,28.25,2.1667,13,4.35
16,29,0,0.3333,0.6667,Ciencia Ficcion,0.33,1,25,2,0.8333,0.2308,0.1667,0.25,Tienda Web,0,0,76,200,6,19,1.625,13,5.85
17,24,0,0.5,0.5,Terror,0.5,4,4.15,0,0,0.5,0,0,Complejos,0,0,27.5,24.9,2,27.5,1,6,4.58
18,25,0,0.1429,0.8571,Terror,0.43,2,14.3889,0,0.5,0,0,0,Tienda Web,0,0,58.5,129.5,7,19.5,1.7778,16,3.66
19,24,0,0.375,0.625,Accion,0.1,2,23.53,0,0.675,0.6943,0.0208,0.2857,Complejos,0,0,152,1764.75,48,21.7143,2.0933,157,0.97
20,46,1,0,1,Ciencia Ficcion,0,1,20,0,0,0,0,0,Tienda Web,0,0,0,20,1,0,1,1,0
21,44,0,0.0909,0.9091,Comedia,0.36,2,13.5357,0,0.3636,0.3478,0,0.6,Complejos,0,0,61,189.5,11,12.2,1.6429,23,2.65
22,35,1,0,1,Drama,1,2,18,0,1,1,0,1,Complejos,0,0,39.5,18,1,19.75,2,2,19.75
23,19,0,0.3333,0.6667,Ciencia Ficcion,0.33,2,20.2,0,0.3333,0.5714,0,0,Complejos,0,0,31,101,3,31,1.4,7,4.43
24,26,1,0,1,Terror,1,2,20,0,1,1,0,0,Complejos,0,0,64.5,20,1,32.25,2,2,32.25
25,36,0,0.3913,0.6087,Ciencia Ficcion,0.52,3,23.6452,0,0.3182,0.2121,0.0435,0.25,Complejos,0,0,211,733,23,17.5833,2.129,66,3.2
26,19,0,0.5,0.5,Drama,0.5,3,32.75,0,1,1,0,0,Complejos,0,0,30,65.5,2,30,2.5,5,6
27,30,1,0,1,Ciencia Ficcion,1,4,34,0,0,0,0,0,Complejos,0,0,19,34,1,19,4,4,4.75
28,29,0,0,1,Aventura,0.67,2,9.375,0,0.6667,0.3333,0,1,Complejos,0,0,16,37.5,3,8,1.5,6,2.67
29,24,0,0.75,0.25,Ciencia Ficcion,0.5,3,17.7,0,0.5,0.7273,0,0.5,Complejos,0,0,92,88.5,4,23,2.2,11,8.36
30,26,0,0,1,Accion,0.67,2,26.8333,0,0.6667,0.2222,0,1,Complejos,0,0,62,80.5,3,31,3,9,6.89
31,49,1,1,0,Accion,0,2,12,0,0,0.5,1,0,Complejos,0,0,0,24,1,0,1,2,0
32,19,0,0.5,0.5,Terror,0.67,2,18.45,0,0.6667,0,0,0.75,Tienda Web,0,0,75.5,184.5,6,18.875,1.6,16,4.72
33,39,0,0.2,0.8,Ciencia Ficcion,0.4,2,22.6,0,0.8,1,0,0.5,Complejos,0,0,39,113,5,19.5,3.6,18,2.17
34,41,0,0.3333,0.6667,Accion,1,2,26.9,0,1,0.5455,0,0.75,Complejos,0,0,134.5,134.5,3,33.625,2.2,11,12.23
35,27,0,0.12,0.88,Ciencia Ficcion,0.48,1,19.1154,3,0.5,0.2059,0.04,0.5556,Complejos,0.0385,0,494,497,25,27.4444,1.3077,34,14.53
36,30,0,0,1,Ciencia Ficcion,0.5,3,21.25,0,0,0.6,0,0,Complejos,0,0,5.5,42.5,2,5.5,2.5,5,1.1
37,30,0,0,1,Accion,1,2,38,0,0.5,0.5,0,0.5,Complejos,0,0,65,76,2,32.5,2,4,16.25
38,45,0,0.2857,0.7143,Terror,0.29,3,30.6,0,0.7143,0.75,0.1429,1,Complejos,0,0,82,306,7,41,2,20,4.1
39,32,0,0,1,Drama,0.5,3,19.6667,0,0,0.75,0.5,0,Complejos,0,0,31,59,2,31,1.3333,4,7.75
40,21,0,0.5,0.5,Ciencia Ficcion,0.67,2,32.8333,2,0.8333,0.8667,0,0.25,Complejos,0,0,116.5,197,6,29.125,2.5,15,7.77
41,26,1,1,0,Accion,1,5,77.5,0,1,1,0,1,Complejos,0,0,62.5,77.5,1,62.5,5,5,12.5
42,26,1,1,0,Ciencia Ficcion,0,2,50,0,1,0,0,0,Tienda Web,0,0,0,50,1,0,2,2,0
43,44,0,0.25,0.75,Dibujo animado,0.38,3,30,0,0.625,0.4091,0.125,0.3333,Complejos,0,0,161.5,450,8,26.9167,1.4667,22,7.34
44,36,0,0.3333,0.6667,Ciencia Ficcion,0.33,3,15.0714,0,0.1667,0.1333,0.1667,0.6,Tienda Web,0,0,126.5,211,6,25.3,1.0714,15,8.43
45,47,0,1,0,Dibujo animado,0,3,19.5,0,0.5,0.3333,0.5,0,Complejos,0,0,0,78,2,0,1.5,6,0
46,41,0,0.3333,0.6667,Accion,0.33,3,46,0,0.3333,0,0,0,Complejos,0,0,26.5,138,3,26.5,4,12,2.21
47,26,0,0.1429,0.8571,Drama,0.43,5,29,1,0.625,0.0741,0,0.3333,Tienda Web,0,0,231,406,7,25.6667,1.9286,27,8.56
48,40,0,0.5,0.5,Familiar,0.8,2,11.1071,0,0.6,0.4762,0.1,0.4444,Complejos,0,0,276,155.5,10,30.6667,1.5,21,13.14
49,51,1,0,1,Aventura,0,2,19,0,0,0,0,0,Complejos,0,0,0,19,1,0,2,2,0
50,44,1,0,1,Aventura,0,2,17,0,0,0,0,0,Complejos,0,0,0,17,1,0,2,2,0
51,30,1,0,1,Dibujo animado,1,2,22,0,1,1,0,1,Complejos,0,0,27,22,1,27,2,2,13.5
52,37,0,0.7,0.3,Terror,0.5,4,18.4,0,0.9,0.6486,0.1,0.3333,Complejos,0,0,143,276,10,23.8333,2.4667,37,3.86
53,39,0,0.2,0.8,Ciencia Ficcion,0.47,2,17.95,1,0.4,0,0.0667,0.75,Tienda Web,0,0,249.5,430.8,15,31.1875,1.625,39,6.4
54,20,0,0.1613,0.8387,Ciencia Ficcion,0.77,2,22.8611,0,0.8276,0.6395,0.0323,0.7407,Complejos,0,0,760.5,823,31,28.1667,2.3889,86,8.84
55,37,0,1,0,Ciencia Ficcion,0.67,2,21.575,0,0.6667,0.5714,0,1,Complejos,0,0.25,123,86.3,3,41,1.75,7,17.57
56,19,0,0,1,Accion,0,4,17.25,0,0.6667,0,0,0,Complejos,0,0,0,69,3,0,1.75,7,0
57,21,1,0,1,Ciencia Ficcion,1,3,24,0,1,0,0,0,Complejos,0,0,54.5,24,1,27.25,3,3,18.17
58,43,0,0.5263,0.4737,Ciencia Ficcion,0.79,2,26.125,1,0.4211,0.2683,0,0.0667,Complejos,0,0,440.5,522.5,19,29.3667,2.05,41,10.74
59,30,0,0.6667,0.3333,Aventura,0.67,2,27.3333,1,0.6667,0.6667,0,0.3333,Complejos,0,0,78.5,82,3,26.1667,2,6,13.08
60,26,0,0.3333,0.6667,Dibujo animado,0.78,2,19.4536,1,0.5,0,0.1111,0,Tienda Web,0,0,266,272.35,9,38,2.1429,30,8.87
61,29,0,1,0,Ciencia Ficcion,0,2,29,1,1,1,0,0,Complejos,0,0,0,58,2,0,2,4,0
62,29,0,0.4063,0.5938,Ciencia Ficcion,0.78,2,25.2303,0,0.5789,0.3,0.0156,0.3962,Complejos,0.0449,0,1568,2245.5,64,29.5849,2.1348,190,8.25
63,35,0,1,0,Dibujo animado,1,4,27.8,0,0.3333,0.1111,0.3333,0,Tienda Web,0,0,107,139,3,35.6667,1.8,9,11.89
64,29,0,1,0,Ciencia Ficcion,0.5,3,20.6667,0,0.6667,0.8,0,0,Complejos,0,0,50,124,4,25,1.6667,10,5
65,29,0,0.2,0.8,Drama,0.2,2,38.9,0,0.6,0,0,1,Tienda Web,0.2,0,27,194.5,5,27,2.6,13,2.08
66,21,0,0.25,0.75,Ciencia Ficcion,0,1,9.625,0,0.5,0.2,0,0,Complejos,0,0,0,38.5,4,0,1.25,5,0
67,28,0,0.5,0.5,Ciencia Ficcion,0.5,3,27.5,0,0.5,1,0,0,Complejos,0,0,54.5,55,2,27.25,2.5,5,10.9
68,33,0,0.2,0.8,Familiar,0.4,2,10.5,0,0.6,0.6364,0.2,0.75,Complejos,0,0,95.5,73.5,5,23.875,1.5714,11,8.68
69,56,1,0,1,Familiar,0,2,25,0,0,1,0,0,Complejos,0,0,0,25,1,0,2,2,0
70,32,1,0,1,Dibujo animado,0,5,9,0,0,1,0,0,Complejos,0,0,0,18,1,0,2.5,5,0
71,64,0,0.125,0.875,Accion,0.38,1,12,2,0.5,0.375,0,0,Complejos,0,0,28.5,96,8,9.5,1,8,3.56
72,27,1,0,1,Comedia,0,8,26,0,1,0.875,1,1,Complejos,0,0,12,78,1,12,2.6667,8,1.5
73,31,0,0.3,0.7,Terror,0.5,2,11.375,0,0.9167,0.375,0,0.4286,Complejos,0,0,148,136.5,10,21.1429,2,24,6.17
74,44,0,1,0,Animacion,0.5,4,27.3125,1,0.25,0.3182,0.25,0.5,Complejos,0,0,113,218.5,4,56.5,2.75,22,5.14
75,26,0,0.087,0.913,Terror,0.43,2,20.5833,5,0.3333,0.0755,0,0.0769,Tienda Web,0,0,319.5,494,23,24.5769,2.2083,53,6.03
76,22,0,0.3333,0.6667,Familiar,0.33,1,15.5714,0,0.6667,0.7273,0.1667,0.5,Complejos,0,0,61.5,109,6,30.75,1.5714,11,5.59
77,25,1,0,1,Animacion,1,3,28.5,1,0,1,0,0,Complejos,0,0,29.5,28.5,1,29.5,3,3,9.83
78,56,0,0.1053,0.8947,Accion,0.58,2,27.6739,0,0.3889,0.4186,0,0.9091,Complejos,0,0.1304,300.5,636.5,19,27.3182,1.8696,43,6.99
79,31,1,1,0,Accion,1,8,79,0,1,0,0,1,Tienda Web,0,0,56,158,1,56,4,8,7
80,19,0,0.375,0.625,Terror,0.63,2,20.0909,2,0.5556,0.7,0,0.6,Complejos,0,0,162,221,8,32.4,1.8182,20,8.1
81,41,1,1,0,Terror,0,2,34,0,1,1,0,0,Complejos,0,0,0,34,1,0,2,2,0
82,42,0,1,0,Thriller,0.33,3,16.4,0,0,0.5,0.3333,0.5,Complejos,0,0,57,82,3,28.5,1.6,8,7.13
83,20,0,0,1,Accion,0,4,34.375,0,0.5,0.9091,0,0,Complejos,0,0,0,137.5,3,0,2.75,11,0
84,38,1,1,0,Accion,0,3,15.25,0,1,0.6667,1,0,Complejos,0,0,0,30.5,1,0,1.5,3,0
85,31,0,0,1,Drama,0.5,4,64.5,0,0.5,0,0,0,Tienda Web,0,0,27.5,129,2,27.5,3,6,4.58
86,40,0,0.5,0.5,Ciencia Ficcion,1,5,33.125,2,0,0.75,0.5,1,Complejos,0,0,84,132.5,2,42,2,8,10.5
87,33,0,0.3,0.7,Familiar,0.8,2,32.1,1,0.6,0.4583,0,0.2,Complejos,0,0,290.5,321,10,29.05,2.4,24,12.1
88,23,0,0.6667,0.3333,Drama,0.33,2,29,0,0,0.6667,0,1,Complejos,0,0,33.5,87,3,33.5,2,6,5.58
89,32,0,0.2,0.8,Ciencia Ficcion,1,2,17.2059,0,0.5714,0.5161,0,0.5263,Complejos,0,0,526,292.5,15,27.6842,1.8235,31,16.97
90,35,1,0,1,Ciencia Ficcion,1,2,24,0,1,1,0,0.75,Complejos,0,0,128.5,24,1,32.125,2,2,64.25
91,47,0,0.3333,0.6667,Dibujo animado,0,2,33.7,0,0.3333,0.75,0.3333,0,Complejos,0,0,0,168.5,3,0,1.6,8,0
92,38,0,0.5,0.5,Accion,0,2,13.9286,1,0,0.0833,0.1667,0,Complejos,0,0,0,97.5,6,0,1.7143,12,0
93,42,0,0.0476,0.9524,Accion,0.95,2,28.5,0,0.7727,0.2673,0.0238,0.5909,Complejos,0.3019,0,1393,1510.5,42,31.6591,1.9057,101,13.79
94,26,0,0.5,0.5,Comedia,0.5,4,22,0,0.5,0,0,1,Tienda Web,0,0,29.5,88,2,29.5,1.75,7,4.21
95,23,0,0.3636,0.6364,Terror,0.45,4,10.4333,0,0.2727,0.3529,0,0.8,Tienda Web,0,0,88.5,313,11,17.7,1.1333,34,2.6
96,28,0,0.3333,0.6667,Terror,0.8,2,28.5833,0,0.2,0.0667,0.0667,0,Tienda Web,0,0,440.5,514.5,15,31.4643,2.5,45,9.79
97,33,1,0,1,Animacion,1,3,13.25,1,0,0.3333,1,1,Complejos,0,0,33,26.5,1,33,1.5,3,11
98,44,0,0.3333,0.6667,Accion,0,2,18.1,1,0,0.7778,0.3333,0,Complejos,0,0,0,90.5,3,0,1.8,9,0
99,32,0,0.2609,0.7391,Ciencia Ficcion,0.04,2,17.94,0,0.3478,0,0,1,Tienda Web,0,0,28.5,448.5,23,28.5,1.8,45,0.63
100,22,0,0.8,0.2,Aventura,0,1,24.5,0,0.2,0.2727,0,0,Complejos,0,0,0,196,5,0,1.375,11,0
101,23,0,0,1,Familiar,0.5,3,33.75,0,1,0.5,0,1,Complejos,0,0,27.5,67.5,2,27.5,3,6,4.58
102,49,0,0.3333,0.6667,Dibujo animado,0,2,20.25,0,0,0.375,0,0,Complejos,0,0,0,81,3,0,2,8,0
103,50,0,0.3333,0.6667,Ciencia Ficcion,0,3,116,0,0.3333,0,0,0,Tienda Web,0.6667,0,28.5,348,3,28.5,3,9,3.17
104,26,0,0,1,Aventura,0.5,2,18.25,0,0.5,0.6,0,0,Complejos,0,0,19,36.5,2,19,2.5,5,3.8
105,57,0,0.25,0.75,Ciencia Ficcion,0.75,2,18.9,0,0.5,0.25,0.25,1,Complejos,0,0.2,82,94.5,4,27.3333,1.6,8,10.25
106,39,0,0.6667,0.3333,Ciencia Ficcion,1,2,12.5,0,1,0.25,0.3333,0.3333,Complejos,0,0,90.5,75,3,30.1667,1.3333,8,11.31
107,57,0,0.3333,0.6667,Ciencia Ficcion,0.33,1,18.6667,0,0.8333,0.6667,0,0.5,Complejos,0,0,38,112,6,19,1,6,6.33
108,24,1,0,1,Comedia,0,6,42,0,0,1,0,1,Complejos,0,0,31,42,1,31,6,6,5.17
109,26,0,0.5714,0.4286,Accion,0,2,34.7143,0,0.3333,0,0,0,Tienda Web,0,0,0,243,7,0,2,14,0
110,55,0,0.3333,0.6667,Comedia,1,2,36.6667,0,0.6667,0.75,0,0.8,Complejos,0,0,550,110,3,36.6667,2.6667,8,68.75
111,21,1,0,1,Familiar,0,2,8,0,0,0,0,0,Complejos,0,0,0,8,1,0,2,2,0
112,30,0,0.375,0.625,Dibujo animado,0.5,3,20.5714,0,0.875,0.6053,0.125,0.4,Complejos,0,0,140.5,288,8,28.1,2.7143,38,3.7
113,40,1,1,0,Drama,1,2,17,0,1,0,0,1,Complejos,0,0,34.5,17,1,34.5,2,2,17.25
114,49,1,1,0,Aventura,1,2,35,0,1,1,0,0,Complejos,0,0,35,35,1,35,2,2,17.5
115,29,0,0,1,Terror,0.86,2,48.8571,0,1,0,0,0.1429,Tienda Web,0.1429,0,424,342,7,30.2857,2.5714,18,23.56
116,32,0,0.2,0.8,Accion,1,2,26,0,0.6,0.6,0,0.8571,Complejos,0,0,183,130,5,26.1429,2,10,18.3
117,40,0,0.3333,0.6667,Terror,0.67,2,11.4,1,0.6667,0.5,0.3333,1,Complejos,0,0,40,57,3,13.3333,1.2,6,6.67
118,30,0,0,1,Ciencia Ficcion,0.25,2,39.75,0,0.75,0.75,0,0.6667,Complejos,0,0,51.5,159,4,17.1667,2,8,6.44
119,18,0,0,1,Ciencia Ficcion,0.4,2,15.1,0,0.6,0.75,0,0.3333,Complejos,0,0,84,75.5,5,28,1.6,8,10.5
120,55,0,0.3333,0.6667,Ciencia Ficcion,1,1,40.3333,0,1,0.3333,0,0.6667,Complejos,0.6667,0,103,121,3,34.3333,1,3,34.33
121,23,0,0,1,Comedia,0,2,23,0,0,1,0,0,Complejos,0,0,27.5,46,2,27.5,2,4,6.88
122,38,0,0.5,0.5,Dibujo animado,1,5,17.875,0,0,0.7778,0.5,1,Complejos,0,0,132,71.5,2,44,2.25,9,14.67
123,21,0,0.1667,0.8333,Dibujo animado,0.33,2,22.1667,0,0.5,0.7333,0,1,Complejos,0,0,118,133,6,39.3333,2.5,15,7.87
124,48,0,0.4,0.6,Ciencia Ficcion,0,3,69.3333,0,0.1667,0.15,0,0,Tienda Web,0,0,0,416,5,0,3.3333,20,0
125,34,0,0,1,Animacion,1,3,15.75,2,0.5,0.5,0.5,1,Complejos,0,0,83.5,63,2,41.75,1.5,6,13.92
126,31,0,0.5,0.5,Dibujo animado,0.5,1,13.8333,0,0.5,0,0.5,0.3333,Tienda Web,0,0,87,41.5,2,29,1.3333,4,21.75
127,22,0,0.25,0.75,Terror,0.88,2,15.6333,1,0.25,0.0952,0.125,0.4286,Tienda Web,0,0,141,187.6,8,20.1429,1.75,21,6.71
128,23,0,0,1,Ciencia Ficcion,0,2,9.6667,0,0.5,0,0,1,Complejos,0,0,18.5,29,2,18.5,1.3333,4,4.63
129,23,0,0.1429,0.8571,Aventura,0.29,2,22.5625,0,0.4286,0.25,0,0.5,Complejos,0,0.125,23.5,180.5,7,11.75,3,24,0.98
130,26,0,0.0769,0.9231,Familiar,0.15,2,36.3077,0,0.4615,0.0541,0,0,Tienda Web,0,0,53.5,472,13,26.75,2.8462,37,1.45
131,38,0,0.5,0.5,Dibujo animado,0,4,20,0,0.5,0.7143,0.5,0,Complejos,0,0,0,80,2,0,1.75,7,0
132,39,0,0.5405,0.4595,Comedia,0.54,2,20.2681,0,0.4444,0.3117,0,0.3636,Tienda Web,0,0,539,952.6,37,24.5,1.6383,77,7
133,27,0,0.7,0.3,Thriller,0.5,2,31.875,0,0.7,0.7368,0,0.6923,Complejos,0,0,360.5,382.5,10,27.7308,1.5833,19,18.97
134,32,1,0,1,Familiar,0,4,24,0,0,0,0,1,Complejos,0,0,26.5,24,1,26.5,4,4,6.63
135,43,0,0.5,0.5,Drama,0,2,22.5,0,0.5,0,0,1,Complejos,0,0,140.5,45,2,35.125,2,4,35.13
136,16,1,0,1,Comedia,0,4,30,0,0,0,0,1,Complejos,0,0,34.5,30,1,34.5,4,4,8.63
137,31,1,0,1,Ciencia Ficcion,1,2,18,1,0,0,0,0,Complejos,0,0,33,18,1,33,2,2,16.5
138,19,1,1,0,Dibujo animado,0,3,12.25,0,1,0.6667,1,0,Complejos,0,0,0,24.5,1,0,1.5,3,0
139,28,0,0,1,Accion,1,1,9.3333,1,0.3333,0,0,0.75,Complejos,0,0,85,28,3,21.25,1.3333,4,21.25
140,59,1,1,0,Familiar,1,2,39,0,0,1,0,1,Complejos,0,0,19,39,1,19,2,2,9.5
141,29,0,0.6,0.4,Thriller,0.4,2,25,0,0.4,0.5556,0,0.8,Complejos,0,0,154,125,5,30.8,1.8,9,17.11
142,63,0,0.3,0.7,Terror,0.05,1,17.0476,0,0.2778,0.4375,0,0,Complejos,0,0,11.5,358,20,11.5,1.5238,32,0.36
143,57,1,0,1,Dibujo animado,1,5,42.5,0,0,0,0,1,Complejos,0,0,30.5,42.5,1,30.5,5,5,6.1
144,44,1,0,1,Dibujo animado,0,2,15,0,0,0,0,0,Complejos,0,0,0,15,1,0,2,2,0
145,23,1,0,1,Drama,1,2,11,0,0,1,0,1,Complejos,0,0,63,11,1,31.5,2,2,31.5
146,40,1,1,0,Ciencia Ficcion,0,1,12,0,1,1,0,0,Complejos,0,0,0,12,1,0,1,1,0
147,23,0,0.2388,0.7612,Ciencia Ficcion,0.72,2,15.6809,0,0.6842,0.3593,0.0149,0.2143,Complejos,0,0,1255.5,1474,67,22.4196,1.7766,167,7.52
148,41,0,0.25,0.75,Dibujo animado,1,3,17.3333,0,0.5,0.3846,0.25,1,Complejos,0,0,249,104,4,41.5,2.1667,13,19.15
149,37,0,0.1111,0.8889,Ciencia Ficcion,0.89,3,30.8333,3,0.7778,0.8846,0,0.5455,Complejos,0,0,419,277.5,9,38.0909,2.8889,26,16.12
150,46,1,1,0,Terror,0,3,21,0,1,1,0,0,Complejos,0,0,0,21,1,0,3,3,0
151,18,1,1,0,Accion,1,2,28,0,0,1,0,1,Complejos,0,0,100.5,28,1,50.25,2,2,50.25
152,18,0,0.25,0.75,Drama,0.75,3,26.9375,0,0.75,0.3125,0.25,0.5,Complejos,0,0.25,200,215.5,4,33.3333,2,16,12.5
153,33,0,0.0556,0.9444,Accion,0.61,2,14.6364,0,0.4444,0.0789,0.0556,0.1818,Tienda Web,0,0,233,322,18,21.1818,1.7273,38,6.13
154,36,0,0.5,0.5,Dibujo animado,0.75,4,30.4,0,0.5,0,0.25,0.25,Tienda Web,0,0,101,152,4,25.25,2.6,13,7.77
155,29,1,0,1,Accion,1,2,30,0,0,1,0,1,Complejos,0,0,31.5,30,1,31.5,2,2,15.75
156,26,1,0,1,Familiar,1,2,20,0,1,0,0,1,Complejos,0,0,40,20,1,40,2,2,20
157,31,1,0,1,Dibujo animado,1,3,13.5,0,1,0.3333,0,1,Complejos,0,0,32,27,1,32,1.5,3,10.67
158,25,1,0,1,Accion,0,1,20,0,1,0,0,0,Complejos,0,1,0,20,1,0,1,1,0
159,35,0,0.5,0.5,Ciencia Ficcion,0.67,1,17.8571,0,0.3333,0.5,0,0.4,Complejos,0,0,113,125,6,22.6,1.1429,8,14.13
160,30,0,0.2857,0.7143,Ciencia Ficcion,0,2,23.1667,1,0.2857,0,0,0,Tienda Web,0,0,0,208.5,7,0,1.8889,17,0
161,45,0,0.4444,0.5556,Ciencia Ficcion,0.67,2,27.1667,0,0.4444,0.0588,0.1111,0.7143,Complejos,0.0833,0,118,326,9,16.8571,1.4167,17,6.94
162,33,0,0.8571,0.1429,Comedia,0.38,3,41.2188,0,0.619,0,0.0476,0.8889,Tienda Web,0.0938,0,439,1319,21,48.7778,1.9375,62,7.08
163,18,0,0.1429,0.8571,Ciencia Ficcion,1,4,25.1429,0,0.6667,0.4091,0,0.7143,Complejos,0,0,244.5,176,7,34.9286,3.1429,22,11.11
164,21,1,0,1,Terror,1,2,14,0,0,0,0,1,Complejos,0,0,29,14,1,29,2,2,14.5
165,25,0,0,1,Accion,0.5,2,25.75,0,0.5,0.4,0,1,Complejos,0,0,40,51.5,2,40,2.5,5,8
166,29,0,0.1667,0.8333,Thriller,0.17,3,29.9857,0,0,0.1333,0,0.5,Tienda Web,0,0,80,209.9,6,40,2.1429,15,5.33
167,37,0,1,0,Accion,0,3,19.0714,0,0.75,0.7,0.25,0,Complejos,0,0,0,133.5,4,0,1.4286,10,0
168,43,1,1,0,Comedia,0,2,30,0,0,1,0,0,Complejos,0,0,0,30,1,0,2,2,0
169,62,0,1,0,Ciencia Ficcion,1,2,16,0,0.5,0.5,0,0.5,Complejos,0,0,69,64,2,34.5,1,4,17.25
170,33,0,0,1,Accion,0,4,19.75,0,0.3333,0.5,0,0,Complejos,0,0,0,79,2,0,1.5,6,0
171,41,0,0.5,0.5,Aventura,0,2,30,0,1,1,0,0,Complejos,0,0,0,60,2,0,2,4,0
172,45,0,1,0,Dibujo animado,1,3,22.5,0,0,0.5,0.5,0,Complejos,0,0,59,90,2,29.5,1.5,6,9.83
173,33,0,0.1579,0.8421,Accion,0.79,2,14.6087,4,0.65,0.4,0,0.75,Complejos,0,0,470,336,19,29.375,1.7391,40,11.75
174,28,0,0,1,Comedia,0.5,3,22,0,0,0.8,0,0,Complejos,0,0,33.5,66,2,33.5,1.6667,5,6.7
175,40,0,0.625,0.375,Dibujo animado,0.13,2,22.25,0,0.375,1,0,1,Complejos,0,0,45.5,178,8,22.75,2,16,2.84
176,37,0,0.1,0.9,Ciencia Ficcion,0.95,2,12.8946,0,0.1875,0.0526,0.05,0.1364,Tienda Web,0,0,585,477.1,20,26.5909,1.5405,57,10.26
177,48,0,0.3421,0.6579,Accion,0.38,2,17.5691,0,0.6833,0.462,0.0132,0.7931,Complejos,0,0.0106,657.5,1651.5,76,22.6724,1.8191,171,3.85
178,32,1,1,0,Thriller,1,2,24,0,1,1,0,0,Complejos,0,0,22,24,1,22,2,2,11
179,33,0,0.0233,0.9767,Comedia,0.21,1,14.9889,0,0.3778,0,0.0233,0.8,Tienda Web,0.0444,0,232,674.5,43,23.2,1.2222,55,4.22
180,31,0,0.6667,0.3333,Dibujo animado,0.33,2,9.4167,1,0.3333,0.375,0.3333,1,Complejos,0,0,44.5,56.5,3,44.5,1.3333,8,5.56
181,33,1,0,1,Animacion,1,1,14,1,1,0,1,0,Complejos,0,0,20.5,14,1,20.5,1,1,20.5
182,37,0,0.4118,0.5882,Ciencia Ficcion,0.29,3,19.75,0,0.3889,0.0417,0.0588,0.75,Tienda Web,0.0333,0,231,592.5,17,28.875,1.6,48,4.81
183,26,1,0,1,Familiar,0,2,18,0,1,0,0,0,Complejos,0,0,0,18,1,0,2,2,0
184,48,0,0.35,0.65,Ciencia Ficcion,0.95,2,12.3676,2,0.5238,0.3158,0.05,0.3158,Complejos,0,0,553.5,420.5,20,29.1316,1.6765,57,9.71
185,48,0,0,1,Accion,0.75,3,34.125,0,0.5,0.2727,0,0.75,Complejos,0,0,166.5,136.5,4,41.625,2.75,11,15.14
186,31,1,0,1,Drama,0,4,56,0,0,0,0,0,Complejos,0,0,0,56,1,0,4,4,0
187,26,1,0,1,Aventura,0,3,21,0,0,1,0,0,Complejos,0,0,0,21,1,0,3,3,0
188,20,0,0.25,0.75,Ciencia Ficcion,0.25,2,20.2083,0,0.75,0.5517,0,0.3333,Complejos,0,0.1667,80.5,242.5,12,26.8333,2.4167,29,2.78
189,50,1,0,1,Familiar,1,2,4,0,0,0.5,0,0,Complejos,0,0,46.5,8,1,23.25,1,2,23.25
