cliente,edad,flag_visita_unica,indicador_frecuencia_find_semana,indicador_frecuencia_semana,indicador_genero_mas_visto,incidencia_personal_dulceria,Numero_entradas_compradas_moda,TP_boleteria,indicador_nro_visitas_mes,indicador_estreno,indicador_promocion_especiales,indicador_promocion_nino,indicador_upselling_combo,canal_venta_preferido,indicador_cliente_prime,indicador_cliente_xtreme,total_dulceria,total_boleteria,canti_visitas_periodo,tp_cliente_dulceria,PROMEDIO_ENTRADAS_COMPRADAS,Nro_entradas_totales_comprada,TP_dul_por_entrada
8741,28,1,1,0,Aventura,1,3,19.5,0,0,0.6667,1,0,Complejos,0,0,31,39,1,31,1.5,3,10.33
8742,39,0,0.5,0.5,Accion,0,2,21.5,0,0.5,0.5,0.5,0,Complejos,0,0,0,86,2,0,1,4,0
8743,48,0,0.25,0.75,Thriller,0.63,2,31.875,2,0.75,0,0.0625,0.2727,Tienda Web,0.0625,0,166.5,510,16,15.1364,1.9375,31,5.37
8744,31,0,1,0,Animacion,1,3,28.5,0,0.5,0.7143,0.5,0,Complejos,0,0,51,114,2,25.5,1.75,7,7.29
8745,36,0,0.6,0.4,Dibujo animado,0.4,2,15.4773,0,0.6,0,0.1,0,Tienda Web,0,0,84,340.5,10,21,1.6364,36,2.33
8746,41,0,0,1,Terror,1,2,10.7,1,0,0.4,0.3333,0.6667,Complejos,0,0,54.5,53.5,3,18.1667,1,5,10.9
8747,54,0,0.5263,0.4737,Accion,0.95,2,19.2,0,0.6316,0.6842,0,1,Complejos,0,0,404,384,19,20.2,1.9,38,10.63
8748,22,0,0,1,Dibujo animado,0.5,2,17.7143,0,1,0.75,0.25,1,Complejos,0,0,33.5,124,4,16.75,1.7143,12,2.79
8749,24,0,0.3333,0.6667,Dibujo animado,0.22,2,13,1,0.625,0.2373,0.0556,0.6667,Tienda Web,0,0,149,338,18,24.8333,2.2692,59,2.53
8750,35,0,1,0,Comedia,1,2,13.1667,0,0,0.4,0.5,0.5,Complejos,0,0,59,39.5,2,29.5,1.6667,5,11.8
8751,20,1,0,1,Accion,0,2,9,0,0,0,0,0,Complejos,0,0,0,9,1,0,2,2,0
8752,45,0,0.3143,0.6857,Terror,0.74,2,13.4105,0,0.5522,0.1812,0.0143,0.0364,Tienda Web,0,0,899.5,1408.1,70,16.3545,1.3143,138,6.52
8753,44,1,0,1,Terror,0,1,9.5,1,0,1,0,0,Complejos,0,0,0,9.5,1,0,1,1,0
8754,39,0,0.5714,0.4286,Ciencia Ficcion,0.79,2,8.174,2,0.2143,0.377,0.0714,0.9231,Tienda Web,0,0,358.5,408.7,14,27.5769,1.22,61,5.88
8755,39,1,0,1,Dibujo animado,1,4,32.5,0,1,0.75,1,1,Complejos,0,0,40,65,1,40,2,4,10
8756,38,0,0.8333,0.1667,Familiar,0.83,3,21.7727,1,0.3333,0.5882,0.1667,0.2,Complejos,0,0,132,239.5,6,26.4,1.5455,17,7.76
8757,31,0,0.6667,0.3333,Ciencia Ficcion,1,5,28.3333,0,0.6667,0.5714,0.3333,0.25,Complejos,0,0,110.5,170,3,27.625,2.3333,14,7.89
8758,25,0,0.5263,0.4737,Ciencia Ficcion,0.74,2,29.0625,0,0.4444,0.3043,0.0526,0.6,Complejos,0,0,555,581.25,19,37,2.3,46,12.07
8759,25,0,0,1,Aventura,0,2,14.6667,0,0.5,0.25,0,0,Complejos,0,0,0,44,2,0,1.3333,4,0
8760,51,1,0,1,Ciencia Ficcion,0,2,24,0,0,0,0,1,Tienda Web,0,0,27,24,1,27,2,2,13.5
8761,37,0,0.5,0.5,Accion,0,1,9.5,0,0,0.3333,0,1,Complejos,0,0,46.5,19,2,23.25,1.5,3,15.5
8762,26,0,0.3667,0.6333,Ciencia Ficcion,0.63,2,27.0441,0,0.5833,0.0732,0.0333,0.4091,Tienda Web,0,0,698.5,919.5,30,31.75,2.4118,82,8.52
8763,34,0,0.6667,0.3333,Drama,0.33,2,51.6667,0,0.3333,0.7143,0,1,Complejos,0,0,35.5,155,3,35.5,2.3333,7,5.07
8764,29,0,0,1,Accion,0.5,2,35.5,0,0.5,1,0,0,Complejos,0,0,20,71,2,20,2,4,5
8765,19,0,0.8333,0.1667,Ciencia Ficcion,0.67,2,23,1,0.6667,0.9167,0,0.75,Complejos,0,0,100,138,6,25,2,12,8.33
8766,22,0,0,1,Familiar,0.88,2,21.0455,1,0.5,0.5625,0,0.7143,Complejos,0,0,154,231.5,8,22,1.4545,16,9.63
8767,29,0,0.6667,0.3333,Dibujo animado,0.67,3,20.5,0,0.3333,0,0.3333,0.5,Tienda Web,0,0,92,123,3,46,1.5,9,10.22
8768,48,1,0,1,Terror,1,2,18,0,0,0,0,0.6667,Complejos,0,0,109,18,1,36.3333,2,2,54.5
8769,43,0,0.4286,0.5714,Terror,0.71,2,24.0455,0,0.7143,0.4,0.1429,0.1667,Complejos,0,0,182.5,264.5,7,30.4167,1.3636,15,12.17
8770,42,1,0,1,Terror,0,2,20,0,1,0,0,0,Complejos,0,0,0,20,1,0,2,2,0
8771,38,1,0,1,Terror,1,2,16,0,0,0,0,0.5,Complejos,0,0,65.5,16,1,32.75,2,2,32.75
8772,26,0,0.5,0.5,Aventura,0.5,3,32.75,0,0.5,0.75,0,0,Complejos,0,0,66,65.5,2,33,2,4,16.5
8773,35,1,0,1,Ciencia Ficcion,1,3,13.5,1,1,1,0,0,Complejos,0,0,25.5,13.5,1,25.5,3,3,8.5
8774,34,0,0.3333,0.6667,Terror,0,3,7.36,0,0,0.4,0.3333,0,Complejos,0,0,0,73.6,3,0,1,10,0
8775,35,0,0.2941,0.7059,Ciencia Ficcion,0.53,2,21.7059,1,0.5294,0.4231,0,0.375,Complejos,0,0.1176,487,369,17,30.4375,1.5294,26,18.73
8776,20,0,0.5,0.5,Accion,0.17,2,24.2,0,0.3077,0.5185,0,0.6667,Complejos,0,0,60.5,363,12,20.1667,1.8,27,2.24
8777,45,0,0.6429,0.3571,Ciencia Ficcion,0.5,2,38.5455,0,0.4,0.6279,0.0714,0.7143,Complejos,0,0,262.5,848,14,37.5,1.9545,43,6.1
8778,26,0,0.3571,0.6429,Comedia,0.46,2,24.7324,0,0.5385,0.0746,0.0357,0.4615,Tienda Web,0,0,441.5,840.9,28,33.9615,1.9706,67,6.59
8779,41,1,0,1,Ciencia Ficcion,1,6,57,0,1,0,0,1,Complejos,0,0,52,57,1,52,6,6,8.67
8780,63,0,0.5,0.5,Aventura,0,2,31.1429,0,0.75,0.25,0,1,Complejos,0.1429,0,4,218,4,4,1.7143,12,0.33
8781,19,1,1,0,Accion,1,2,31,0,0,1,0,1,Complejos,0,0,32.5,31,1,32.5,2,2,16.25
8782,31,1,0,1,Animacion,1,8,48,0,1,0,0,1,Complejos,0,0,37.5,48,1,37.5,8,8,4.69
8783,23,1,0,1,Terror,0,2,26,1,0,1,0,0,Complejos,0,0,67,26,1,67,2,2,33.5
